date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2023/03/12,2023,3,12,chokepoint8,Gibraltar Strait,32,35,27,3,40,97,137,838853,1904616,95509,14932,1101716,2853912,3955628,20892
2023/03/13,2023,3,13,chokepoint8,Gibraltar Strait,36,28,20,6,54,90,144,1147727,1525461,62006,36344,1811985,2771540,4583526,20893
2023/03/14,2023,3,14,chokepoint8,Gibraltar Strait,38,40,16,4,52,98,150,1209641,1693032,58570,10962,1652432,2972206,4624639,20894
2023/03/15,2023,3,15,chokepoint8,Gibraltar Strait,30,33,26,4,55,93,148,650758,1743711,63651,7095,1615504,2465217,4080721,20895
2023/03/16,2023,3,16,chokepoint8,Gibraltar Strait,39,29,28,3,45,99,144,1205134,1254758,122381,4207,1551955,2586481,4138436,20896
2023/03/17,2023,3,17,chokepoint8,Gibraltar Strait,30,24,25,5,55,84,139,743801,956278,69230,11881,1590973,1781192,3372165,20897
2023/03/18,2023,3,18,chokepoint8,Gibraltar Strait,29,40,17,4,66,90,156,800702,1602579,90385,11109,1504876,2504777,4009653,20898
2023/03/19,2023,3,19,chokepoint8,Gibraltar Strait,32,29,26,5,51,92,143,990667,1374452,75588,15912,1316968,2456620,3773589,20899
2023/03/20,2023,3,20,chokepoint8,Gibraltar Strait,33,38,23,6,49,100,149,1000678,1457253,88880,35785,2032010,2582598,4614608,20900
2023/03/21,2023,3,21,chokepoint8,Gibraltar Strait,30,34,29,7,59,100,159,887195,1468776,134984,17461,1954229,2508418,4462647,20901
2023/03/22,2023,3,22,chokepoint8,Gibraltar Strait,37,32,21,6,64,96,160,804192,1774971,72914,10729,2286494,2662807,4949301,20902
2023/03/23,2023,3,23,chokepoint8,Gibraltar Strait,35,37,24,5,51,101,152,1054353,2136300,61185,21891,1865469,3273732,5139201,20903
2023/03/24,2023,3,24,chokepoint8,Gibraltar Strait,32,33,31,6,39,102,141,878899,1386052,113715,20118,1416382,2398786,3815168,20904
2023/03/25,2023,3,25,chokepoint8,Gibraltar Strait,23,32,21,2,46,78,124,735351,1220322,59765,3098,1454517,2018538,3473056,20905
2023/03/26,2023,3,26,chokepoint8,Gibraltar Strait,33,26,23,2,40,84,124,1217639,903028,92485,6044,1404137,2219198,3623335,20906
2023/03/27,2023,3,27,chokepoint8,Gibraltar Strait,38,31,16,7,46,92,138,1061854,1816304,71243,23935,1614454,2973339,4587793,20907
2023/03/28,2023,3,28,chokepoint8,Gibraltar Strait,29,34,16,1,50,80,130,911225,1477607,52381,0,1548413,2441214,3989628,20908
2023/03/29,2023,3,29,chokepoint8,Gibraltar Strait,39,34,16,10,50,99,149,1070696,1228145,43470,43786,2284189,2386098,4670288,20909
2023/03/30,2023,3,30,chokepoint8,Gibraltar Strait,30,48,30,7,45,115,160,1077754,2064924,111978,25149,2279400,3279807,5559207,20910
2023/03/31,2023,3,31,chokepoint8,Gibraltar Strait,36,38,20,5,55,99,154,842549,1396182,108785,29355,1622268,2376872,3999141,20911
2023/04/01,2023,4,1,chokepoint8,Gibraltar Strait,25,28,24,3,47,80,127,941875,1294729,57380,7496,1502279,2301482,3803761,20912
2023/04/02,2023,4,2,chokepoint8,Gibraltar Strait,31,29,17,4,37,81,118,929668,1410733,75340,6755,918347,2422498,3340845,20913
2023/04/03,2023,4,3,chokepoint8,Gibraltar Strait,39,30,17,2,39,88,127,1262281,1317587,46221,8780,1057762,2634870,3692632,20914
2023/04/04,2023,4,4,chokepoint8,Gibraltar Strait,33,26,15,7,47,81,128,1052701,1196974,31684,11161,1663543,2292521,3956065,20915
2023/04/05,2023,4,5,chokepoint8,Gibraltar Strait,33,34,14,4,64,85,149,894804,1764756,47922,9764,2725038,2717247,5442286,20916
2023/04/06,2023,4,6,chokepoint8,Gibraltar Strait,31,31,30,4,36,96,132,911656,1591222,104407,20928,1025522,2628216,3653738,20917
2023/04/07,2023,4,7,chokepoint8,Gibraltar Strait,34,43,17,10,55,104,159,861320,1543104,78519,23743,1484966,2506687,3991653,20918
2023/04/08,2023,4,8,chokepoint8,Gibraltar Strait,33,48,26,6,48,113,161,1127705,2296654,109662,13914,1018030,3547936,4565966,20919
2023/04/09,2023,4,9,chokepoint8,Gibraltar Strait,34,31,32,5,63,102,165,1307561,1451929,133244,18444,2349596,2911179,5260775,20920
2023/04/10,2023,4,10,chokepoint8,Gibraltar Strait,49,25,23,6,53,103,156,1478789,1038332,93042,10188,1939958,2620353,4560311,20921
2023/04/11,2023,4,11,chokepoint8,Gibraltar Strait,34,34,18,6,59,92,151,972087,1186841,56452,32489,2035239,2247870,4283110,20922
2023/04/12,2023,4,12,chokepoint8,Gibraltar Strait,23,24,23,8,53,78,131,703786,1048594,67641,28973,1965727,1848995,3814723,20923
2023/04/13,2023,4,13,chokepoint8,Gibraltar Strait,36,34,25,3,47,98,145,852830,1221574,88459,4156,1653635,2167020,3820655,20924
2023/04/14,2023,4,14,chokepoint8,Gibraltar Strait,30,33,23,3,58,89,147,859151,1383478,101976,5635,1280266,2350242,3630509,20925
2023/04/15,2023,4,15,chokepoint8,Gibraltar Strait,38,27,28,3,62,96,158,1202024,1241349,100495,2514,2570225,2546383,5116609,20926
2023/04/16,2023,4,16,chokepoint8,Gibraltar Strait,29,27,22,3,52,81,133,958147,1105922,59304,10154,1419106,2133528,3552635,20927
2023/04/17,2023,4,17,chokepoint8,Gibraltar Strait,38,36,16,8,54,98,152,988032,1693246,84182,20427,1723197,2785888,4509086,20928
2023/04/18,2023,4,18,chokepoint8,Gibraltar Strait,40,23,23,6,61,92,153,1193556,989389,71047,12753,2177702,2266747,4444450,20929
2023/04/19,2023,4,19,chokepoint8,Gibraltar Strait,27,38,16,10,51,91,142,858494,1560607,73335,40365,1954859,2532802,4487662,20930
2023/04/20,2023,4,20,chokepoint8,Gibraltar Strait,28,27,26,5,44,86,130,905428,1237642,80363,32399,1251474,2255835,3507309,20931
2023/04/21,2023,4,21,chokepoint8,Gibraltar Strait,45,33,19,4,58,101,159,1176825,1376040,77307,14979,1481286,2645153,4126440,20932
2023/04/22,2023,4,22,chokepoint8,Gibraltar Strait,35,33,22,7,57,97,154,821985,1490914,107109,18169,1507630,2438179,3945809,20933
2023/04/23,2023,4,23,chokepoint8,Gibraltar Strait,37,26,24,7,56,94,150,1226813,1051562,98049,20605,2139776,2397030,4536807,20934
2023/04/24,2023,4,24,chokepoint8,Gibraltar Strait,33,37,32,4,68,106,174,1232735,1930561,160245,7724,2500965,3331267,5832233,20935
2023/04/25,2023,4,25,chokepoint8,Gibraltar Strait,38,37,20,6,52,101,153,869962,1216283,76638,13172,1917059,2176056,4093115,20936
2023/04/26,2023,4,26,chokepoint8,Gibraltar Strait,33,31,22,9,47,95,142,1003430,1434964,115272,26621,1542186,2580288,4122475,20937
2023/04/27,2023,4,27,chokepoint8,Gibraltar Strait,40,35,30,3,64,108,172,1145583,1420038,119544,9512,1922238,2694679,4616918,20938
2023/04/28,2023,4,28,chokepoint8,Gibraltar Strait,28,34,31,7,56,100,156,696712,1319675,113025,35263,1399887,2164677,3564565,20939
2023/04/29,2023,4,29,chokepoint8,Gibraltar Strait,38,35,18,5,53,96,149,1124090,1286715,61022,7151,1827747,2478978,4306726,20940
2023/04/30,2023,4,30,chokepoint8,Gibraltar Strait,40,24,20,7,45,91,136,1177906,1035825,58375,6734,1305174,2278841,3584015,20941
2023/05/01,2023,5,1,chokepoint8,Gibraltar Strait,45,30,27,4,50,106,156,1635685,1315804,97406,17658,1474277,3066555,4540832,20942
2023/05/02,2023,5,2,chokepoint8,Gibraltar Strait,34,38,24,2,52,98,150,786187,1710389,144410,2891,1267924,2643879,3911804,20943
2023/05/03,2023,5,3,chokepoint8,Gibraltar Strait,27,36,21,5,53,89,142,1027067,1417795,128037,7904,1835198,2580804,4416002,20944
2023/05/04,2023,5,4,chokepoint8,Gibraltar Strait,43,35,24,8,51,110,161,940475,1910832,70682,23385,1583591,2945375,4528966,20945
2023/05/05,2023,5,5,chokepoint8,Gibraltar Strait,27,43,19,4,47,93,140,786636,1633913,56229,13676,1241956,2490455,3732412,20946
2023/05/06,2023,5,6,chokepoint8,Gibraltar Strait,44,34,22,8,47,108,155,1574134,1149171,66348,12932,1090547,2802587,3893134,20947
2023/05/07,2023,5,7,chokepoint8,Gibraltar Strait,42,42,25,10,47,119,166,1218218,1685072,132364,21392,1837292,3057047,4894340,20948
2023/05/08,2023,5,8,chokepoint8,Gibraltar Strait,31,30,16,2,49,79,128,659000,1487382,65874,8595,1280258,2220852,3501111,20949
2023/05/09,2023,5,9,chokepoint8,Gibraltar Strait,33,32,24,4,42,93,135,1095506,1287967,129447,7947,1125888,2520870,3646758,20950
2023/05/10,2023,5,10,chokepoint8,Gibraltar Strait,40,37,37,9,57,123,180,1291649,1395668,119061,34258,2274665,2840638,5115304,20951
2023/05/11,2023,5,11,chokepoint8,Gibraltar Strait,37,26,29,8,38,100,138,1130634,986474,118250,21345,1092018,2256704,3348722,20952
2023/05/12,2023,5,12,chokepoint8,Gibraltar Strait,34,38,18,8,46,98,144,939490,1562477,55222,40056,1313261,2597246,3910508,20953
2023/05/13,2023,5,13,chokepoint8,Gibraltar Strait,36,39,33,7,44,115,159,992752,1605163,110220,17260,1450151,2725397,4175548,20954
2023/05/14,2023,5,14,chokepoint8,Gibraltar Strait,40,27,16,5,64,88,152,1249082,1242964,86085,18231,2223590,2596363,4819953,20955
2023/05/15,2023,5,15,chokepoint8,Gibraltar Strait,28,36,24,4,55,92,147,725243,1663259,73539,8145,1433936,2470187,3904124,20956
2023/05/16,2023,5,16,chokepoint8,Gibraltar Strait,36,38,16,5,56,95,151,1249800,1561122,50204,9814,2500827,2870942,5371770,20957
2023/05/17,2023,5,17,chokepoint8,Gibraltar Strait,30,22,25,7,47,84,131,751644,829752,64608,7704,817130,1653710,2470840,20958
2023/05/18,2023,5,18,chokepoint8,Gibraltar Strait,30,38,26,3,37,97,134,888752,2375202,89039,14617,1141130,3367611,4508742,20959
2023/05/19,2023,5,19,chokepoint8,Gibraltar Strait,30,24,28,5,56,87,143,1045469,815882,84341,8044,1590736,1953739,3544475,20960
2023/05/20,2023,5,20,chokepoint8,Gibraltar Strait,36,34,26,7,51,103,154,897585,1460739,107760,21076,1516185,2487160,4003346,20961
2023/05/21,2023,5,21,chokepoint8,Gibraltar Strait,32,36,30,7,39,105,144,1308898,1571116,93389,16717,1308070,2990121,4298191,20962
2023/05/22,2023,5,22,chokepoint8,Gibraltar Strait,34,36,21,4,66,95,161,858895,1948343,69688,2313,2077437,2879240,4956678,20963
2023/05/23,2023,5,23,chokepoint8,Gibraltar Strait,43,24,24,4,60,95,155,1369296,988020,75671,2812,1657840,2435801,4093642,20964
2023/05/24,2023,5,24,chokepoint8,Gibraltar Strait,31,23,20,8,43,82,125,783932,897408,113639,25744,1445571,1820725,3266297,20965
2023/05/25,2023,5,25,chokepoint8,Gibraltar Strait,40,42,18,9,37,109,146,755724,1429897,77482,19705,1548047,2282811,3830858,20966
2023/05/26,2023,5,26,chokepoint8,Gibraltar Strait,38,35,30,4,54,107,161,1339358,1276158,131225,11636,1691175,2758379,4449555,20967
2023/05/27,2023,5,27,chokepoint8,Gibraltar Strait,31,40,27,12,46,110,156,862143,1327311,104194,33362,1698361,2327012,4025373,20968
2023/05/28,2023,5,28,chokepoint8,Gibraltar Strait,46,35,25,4,42,110,152,1073299,1950778,74306,17884,1366441,3116268,4482710,20969
2023/05/29,2023,5,29,chokepoint8,Gibraltar Strait,35,27,19,4,46,85,131,928058,1183067,65067,11412,1592549,2187605,3780154,20970
2023/05/30,2023,5,30,chokepoint8,Gibraltar Strait,28,35,24,3,51,90,141,853762,1519688,116876,12801,1540387,2503128,4043515,20971
2023/05/31,2023,5,31,chokepoint8,Gibraltar Strait,39,42,35,6,45,122,167,1336221,1961503,128569,23312,1379302,3449607,4828909,20972
2023/06/01,2023,6,1,chokepoint8,Gibraltar Strait,37,20,23,7,53,87,140,837593,1046928,67537,9429,1500093,1961488,3461581,20973
2023/06/02,2023,6,2,chokepoint8,Gibraltar Strait,35,47,20,8,52,110,162,1113518,1583755,54447,25940,1848742,2777662,4626404,20974
2023/06/03,2023,6,3,chokepoint8,Gibraltar Strait,39,32,19,8,49,98,147,872314,1215726,54846,13826,1856227,2156714,4012942,20975
2023/06/04,2023,6,4,chokepoint8,Gibraltar Strait,46,29,20,6,45,101,146,1562642,1350757,64181,15516,936250,2993096,3929346,20976
2023/06/05,2023,6,5,chokepoint8,Gibraltar Strait,50,28,21,1,55,100,155,1201796,1088801,80974,1405,1510717,2372978,3883696,20977
2023/06/06,2023,6,6,chokepoint8,Gibraltar Strait,27,25,22,4,45,78,123,759539,1117635,95854,16817,1080399,1989846,3070245,20978
2023/06/07,2023,6,7,chokepoint8,Gibraltar Strait,37,30,22,5,51,94,145,895581,1523773,75514,13916,1179807,2508785,3688592,20979
2023/06/08,2023,6,8,chokepoint8,Gibraltar Strait,36,38,25,2,53,101,154,867033,1749400,91082,4925,1904270,2712441,4616712,20980
2023/06/09,2023,6,9,chokepoint8,Gibraltar Strait,35,35,20,4,54,94,148,1132887,1541176,115663,13199,2081015,2802926,4883941,20981
2023/06/10,2023,6,10,chokepoint8,Gibraltar Strait,31,31,25,9,61,96,157,936354,1482198,95629,31069,1722251,2545252,4267503,20982
2023/06/11,2023,6,11,chokepoint8,Gibraltar Strait,39,33,24,9,42,105,147,1274712,1351727,94664,17764,739879,2738869,3478749,20983
2023/06/12,2023,6,12,chokepoint8,Gibraltar Strait,43,39,27,7,56,116,172,1166492,1773919,112771,47772,1835280,3100956,4936236,20984
2023/06/13,2023,6,13,chokepoint8,Gibraltar Strait,29,34,20,8,51,91,142,1299276,1492064,105033,27177,1375814,2923552,4299367,20985
2023/06/14,2023,6,14,chokepoint8,Gibraltar Strait,31,23,20,6,45,80,125,657281,954706,56427,7704,1502095,1676120,3178215,20986
2023/06/15,2023,6,15,chokepoint8,Gibraltar Strait,33,28,25,3,53,89,142,943147,1310314,93309,6871,1859755,2353643,4213399,20987
2023/06/16,2023,6,16,chokepoint8,Gibraltar Strait,37,36,45,9,46,127,173,638301,1438936,210027,10388,1517049,2297654,3814703,20988
2023/06/17,2023,6,17,chokepoint8,Gibraltar Strait,45,38,25,4,48,112,160,1349140,1515464,80608,9449,1320358,2954662,4275021,20989
2023/06/18,2023,6,18,chokepoint8,Gibraltar Strait,34,35,25,8,54,102,156,1171700,1697332,63563,20323,2417013,2952919,5369933,20990
2023/06/19,2023,6,19,chokepoint8,Gibraltar Strait,46,40,24,5,53,115,168,1251958,1401551,64024,5664,2015557,2723198,4738756,20991
2023/06/20,2023,6,20,chokepoint8,Gibraltar Strait,40,28,16,8,53,92,145,1476450,1302954,57610,42541,1528076,2879558,4407634,20992
2023/06/21,2023,6,21,chokepoint8,Gibraltar Strait,32,27,25,7,42,91,133,591866,1029314,105880,12741,1246967,1739804,2986771,20993
2023/06/22,2023,6,22,chokepoint8,Gibraltar Strait,41,34,25,2,57,102,159,1405270,1633410,87312,0,1930740,3125993,5056733,20994
2023/06/23,2023,6,23,chokepoint8,Gibraltar Strait,33,37,25,9,29,104,133,755528,1147085,56287,31998,565044,1990899,2555943,20995
2023/06/24,2023,6,24,chokepoint8,Gibraltar Strait,39,25,21,9,64,94,158,820906,951301,59100,10329,1725771,1841637,3567408,20996
2023/06/25,2023,6,25,chokepoint8,Gibraltar Strait,38,36,27,1,42,102,144,916811,1888251,139601,0,1286623,2944664,4231288,20997
2023/06/26,2023,6,26,chokepoint8,Gibraltar Strait,40,28,24,5,44,97,141,1436268,1203847,85252,13954,1583608,2739321,4322930,20998
2023/06/27,2023,6,27,chokepoint8,Gibraltar Strait,37,37,21,5,42,100,142,1159513,1533377,102685,9838,1403504,2805414,4208919,20999
2023/06/28,2023,6,28,chokepoint8,Gibraltar Strait,39,40,17,5,50,101,151,1065185,1533061,55447,16337,1851283,2670031,4521314,21000
2023/06/29,2023,6,29,chokepoint8,Gibraltar Strait,30,29,32,9,38,100,138,656198,1004523,74293,22024,1136065,1757041,2893106,21001
2023/06/30,2023,6,30,chokepoint8,Gibraltar Strait,27,36,26,8,45,97,142,1006836,1534709,104713,23367,1335706,2669627,4005334,21002
2023/07/01,2023,7,1,chokepoint8,Gibraltar Strait,33,30,23,9,45,95,140,1076181,1226723,73847,20896,1522432,2397648,3920080,21003
2023/07/02,2023,7,2,chokepoint8,Gibraltar Strait,43,34,20,5,42,102,144,917784,1596835,59289,27803,1171696,2601713,3773409,21004
2023/07/03,2023,7,3,chokepoint8,Gibraltar Strait,51,31,14,4,48,100,148,1674320,1211980,63387,9065,1467393,2958754,4426148,21005
2023/07/04,2023,7,4,chokepoint8,Gibraltar Strait,33,33,20,3,48,89,137,1095113,1181358,76524,19640,1446268,2372637,3818906,21006
2023/07/05,2023,7,5,chokepoint8,Gibraltar Strait,32,37,21,7,48,97,145,889023,1349913,94391,26604,1576029,2359933,3935963,21007
2023/07/06,2023,7,6,chokepoint8,Gibraltar Strait,45,27,21,4,57,97,154,832003,1327574,68499,13660,2330088,2241737,4571825,21008
2023/07/07,2023,7,7,chokepoint8,Gibraltar Strait,32,36,23,7,53,98,151,1272252,1311884,58138,8984,1395200,2651259,4046460,21009
2023/07/08,2023,7,8,chokepoint8,Gibraltar Strait,34,26,23,6,43,89,132,762746,1146541,88206,22360,1151197,2019855,3171052,21010
2023/07/09,2023,7,9,chokepoint8,Gibraltar Strait,52,22,19,6,54,99,153,1392236,672369,97142,16184,1842546,2177932,4020478,21011
2023/07/10,2023,7,10,chokepoint8,Gibraltar Strait,33,32,11,3,52,79,131,1001253,1513108,58641,14705,1871859,2587708,4459568,21012
2023/07/11,2023,7,11,chokepoint8,Gibraltar Strait,35,29,13,1,59,78,137,1139899,1348960,41332,926,1540594,2531119,4071714,21013
2023/07/12,2023,7,12,chokepoint8,Gibraltar Strait,43,34,23,8,56,108,164,969199,1149574,98263,43576,1588983,2260614,3849597,21014
2023/07/13,2023,7,13,chokepoint8,Gibraltar Strait,36,36,13,4,42,89,131,883137,1138258,55108,12720,979291,2089224,3068516,21015
2023/07/14,2023,7,14,chokepoint8,Gibraltar Strait,33,33,28,4,46,98,144,825701,1109359,90094,4063,1527557,2029219,3556776,21016
2023/07/15,2023,7,15,chokepoint8,Gibraltar Strait,28,28,31,5,35,92,127,915985,1162549,94962,7714,1366070,2181212,3547282,21017
2023/07/16,2023,7,16,chokepoint8,Gibraltar Strait,46,33,19,6,46,104,150,933984,1147595,64416,2272,1383252,2148268,3531520,21018
2023/07/17,2023,7,17,chokepoint8,Gibraltar Strait,37,36,18,7,54,98,152,1102466,1083043,92514,38028,1259576,2316053,3575629,21019
2023/07/18,2023,7,18,chokepoint8,Gibraltar Strait,33,27,17,3,49,80,129,1142561,1361897,88437,8425,1774260,2601321,4375581,21020
2023/07/19,2023,7,19,chokepoint8,Gibraltar Strait,34,41,22,8,58,105,163,906548,1641136,60229,32830,2017307,2640744,4658052,21021
2023/07/20,2023,7,20,chokepoint8,Gibraltar Strait,38,29,32,5,49,104,153,1158595,1266099,140077,4990,1150007,2569764,3719771,21022
2023/07/21,2023,7,21,chokepoint8,Gibraltar Strait,30,19,29,8,55,86,141,980518,705653,90695,42177,1624610,1819045,3443655,21023
2023/07/22,2023,7,22,chokepoint8,Gibraltar Strait,36,23,24,3,56,86,142,1205457,959843,83472,0,1550781,2248773,3799554,21024
2023/07/23,2023,7,23,chokepoint8,Gibraltar Strait,38,30,26,2,49,96,145,1165052,1561860,157165,9940,1826961,2894018,4720980,21025
2023/07/24,2023,7,24,chokepoint8,Gibraltar Strait,39,25,23,5,48,92,140,944666,984255,71361,6600,1755351,2006884,3762235,21026
2023/07/25,2023,7,25,chokepoint8,Gibraltar Strait,30,36,22,7,40,95,135,964229,1736471,66914,23431,1140036,2791047,3931083,21027
2023/07/26,2023,7,26,chokepoint8,Gibraltar Strait,46,42,25,5,47,118,165,1549802,1498373,91749,4116,1511275,3144042,4655317,21028
2023/07/27,2023,7,27,chokepoint8,Gibraltar Strait,35,33,29,2,47,99,146,913071,1466513,94284,8629,1126493,2482498,3608992,21029
2023/07/28,2023,7,28,chokepoint8,Gibraltar Strait,33,41,19,4,50,97,147,868663,1478359,85436,10781,1327549,2443240,3770790,21030
2023/07/29,2023,7,29,chokepoint8,Gibraltar Strait,39,31,22,6,50,98,148,888902,1711005,111298,12985,1471851,2724191,4196043,21031
2023/07/30,2023,7,30,chokepoint8,Gibraltar Strait,31,24,24,8,43,87,130,740887,1040692,114606,30805,1396924,1926992,3323916,21032
2023/07/31,2023,7,31,chokepoint8,Gibraltar Strait,37,30,21,5,59,93,152,834280,951410,108664,8193,1442532,1902548,3345080,21033
2023/08/01,2023,8,1,chokepoint8,Gibraltar Strait,37,29,20,2,49,88,137,1436728,1355504,60569,0,1287083,2852803,4139886,21034
2023/08/02,2023,8,2,chokepoint8,Gibraltar Strait,38,29,26,9,51,102,153,1228537,1605538,76147,13740,1446656,2923964,4370620,21035
2023/08/03,2023,8,3,chokepoint8,Gibraltar Strait,39,39,22,3,48,103,151,951165,2207599,95168,15459,1902679,3269393,5172073,21036
2023/08/04,2023,8,4,chokepoint8,Gibraltar Strait,33,46,23,5,56,107,163,1110476,1947793,100249,10647,1409165,3169165,4578331,21037
2023/08/05,2023,8,5,chokepoint8,Gibraltar Strait,32,32,17,5,46,86,132,736394,1544198,40844,7020,1116212,2328458,3444670,21038
2023/08/06,2023,8,6,chokepoint8,Gibraltar Strait,41,29,20,6,57,96,153,873870,1167823,52147,28339,1440844,2122180,3563024,21039
2023/08/07,2023,8,7,chokepoint8,Gibraltar Strait,38,38,23,5,48,104,152,1198307,2078568,89006,15710,1205609,3381593,4587203,21040
2023/08/08,2023,8,8,chokepoint8,Gibraltar Strait,38,28,20,2,40,88,128,1444038,817841,60477,11283,1354793,2333640,3688434,21041
2023/08/09,2023,8,9,chokepoint8,Gibraltar Strait,24,40,20,12,55,96,151,717102,1524570,41750,72860,2175469,2356283,4531753,21042
2023/08/10,2023,8,10,chokepoint8,Gibraltar Strait,37,42,28,4,50,111,161,792560,1656969,95712,16093,1585378,2561336,4146715,21043
2023/08/11,2023,8,11,chokepoint8,Gibraltar Strait,38,29,31,6,61,104,165,1074796,1284805,118033,4596,1691370,2482232,4173602,21044
2023/08/12,2023,8,12,chokepoint8,Gibraltar Strait,37,27,34,2,51,100,151,940851,954222,103932,1192,1179825,2000199,3180024,21045
2023/08/13,2023,8,13,chokepoint8,Gibraltar Strait,39,30,24,6,41,99,140,1313374,1152985,87206,30390,1047106,2583955,3631062,21046
2023/08/14,2023,8,14,chokepoint8,Gibraltar Strait,45,37,31,7,54,120,174,1562562,1851586,107991,6294,2192009,3528434,5720444,21047
2023/08/15,2023,8,15,chokepoint8,Gibraltar Strait,30,34,32,8,51,104,155,878388,1416479,126041,25693,1652208,2446603,4098812,21048
2023/08/16,2023,8,16,chokepoint8,Gibraltar Strait,33,37,23,5,63,98,161,922373,1608380,94179,20457,1996048,2645390,4641438,21049
2023/08/17,2023,8,17,chokepoint8,Gibraltar Strait,39,29,27,4,54,99,153,1109933,1308758,73472,4489,1047547,2496654,3544201,21050
2023/08/18,2023,8,18,chokepoint8,Gibraltar Strait,33,37,20,8,39,98,137,908106,1244500,48307,22339,895058,2223253,3118312,21051
2023/08/19,2023,8,19,chokepoint8,Gibraltar Strait,43,28,31,7,44,109,153,1135928,998456,117077,6183,1591865,2257646,3849511,21052
2023/08/20,2023,8,20,chokepoint8,Gibraltar Strait,36,24,26,8,34,94,128,1307636,1047071,90177,28184,1211778,2473069,3684848,21053
2023/08/21,2023,8,21,chokepoint8,Gibraltar Strait,42,34,18,5,56,99,155,1235351,1553583,108075,3098,1273100,2900109,4173209,21054
2023/08/22,2023,8,22,chokepoint8,Gibraltar Strait,36,29,24,2,59,91,150,1297726,1314096,92222,6039,1796883,2710083,4506967,21055
2023/08/23,2023,8,23,chokepoint8,Gibraltar Strait,32,27,27,5,38,91,129,875298,1135947,151349,2994,985716,2165589,3151305,21056
2023/08/24,2023,8,24,chokepoint8,Gibraltar Strait,28,30,28,6,47,92,139,558322,961136,106089,1887,1368272,1627435,2995708,21057
2023/08/25,2023,8,25,chokepoint8,Gibraltar Strait,34,30,26,3,48,93,141,920784,1483403,82805,14672,1451968,2501666,3953635,21058
2023/08/26,2023,8,26,chokepoint8,Gibraltar Strait,40,30,17,8,41,95,136,950214,1298360,51913,19792,1100339,2320279,3420619,21059
2023/08/27,2023,8,27,chokepoint8,Gibraltar Strait,34,31,26,6,50,97,147,857354,1559723,95943,1192,1696117,2514214,4210331,21060
2023/08/28,2023,8,28,chokepoint8,Gibraltar Strait,33,35,23,5,37,96,133,1255881,1509630,101317,24327,1564711,2891156,4455868,21061
2023/08/29,2023,8,29,chokepoint8,Gibraltar Strait,36,32,22,2,47,92,139,1030155,1341031,104905,8867,1057644,2484958,3542603,21062
2023/08/30,2023,8,30,chokepoint8,Gibraltar Strait,35,30,17,7,50,89,139,1023572,1419498,37782,9031,1338210,2489884,3828095,21063
2023/08/31,2023,8,31,chokepoint8,Gibraltar Strait,41,34,23,1,61,99,160,920513,1282040,112038,5645,1656252,2320237,3976490,21064
2023/09/01,2023,9,1,chokepoint8,Gibraltar Strait,34,34,21,9,43,98,141,1018773,1872322,78737,50264,1433993,3020098,4454091,21065
2023/09/02,2023,9,2,chokepoint8,Gibraltar Strait,40,44,27,8,50,119,169,1117899,2263130,85161,16235,1515063,3482427,4997490,21066
2023/09/03,2023,9,3,chokepoint8,Gibraltar Strait,39,38,20,9,52,106,158,1169867,1282951,73595,55048,1753437,2581463,4334900,21067
2023/09/04,2023,9,4,chokepoint8,Gibraltar Strait,40,33,19,6,54,98,152,1415554,1194691,43786,13183,2059777,2667215,4726993,21068
2023/09/05,2023,9,5,chokepoint8,Gibraltar Strait,30,30,15,3,62,78,140,947009,1163537,78376,14281,2329347,2203205,4532553,21069
2023/09/06,2023,9,6,chokepoint8,Gibraltar Strait,34,37,18,6,49,95,144,764121,1211630,79893,3507,1240904,2059152,3300057,21070
2023/09/07,2023,9,7,chokepoint8,Gibraltar Strait,38,39,27,3,48,107,155,1109659,1282001,78774,4839,1238097,2475275,3713372,21071
2023/09/08,2023,9,8,chokepoint8,Gibraltar Strait,33,32,18,5,59,88,147,906114,1446034,36567,15924,2219996,2404640,4624637,21072
2023/09/09,2023,9,9,chokepoint8,Gibraltar Strait,47,33,17,6,47,103,150,1656227,1265328,42625,10240,1878311,2974421,4852733,21073
2023/09/10,2023,9,10,chokepoint8,Gibraltar Strait,35,39,22,8,61,104,165,808229,1453359,92589,5199,1598224,2359377,3957601,21074
2023/09/11,2023,9,11,chokepoint8,Gibraltar Strait,39,40,13,6,47,98,145,1255068,1871406,46896,15623,1390928,3188995,4579924,21075
2023/09/12,2023,9,12,chokepoint8,Gibraltar Strait,25,30,18,0,56,73,129,883182,1630464,144997,0,1643018,2658644,4301663,21076
2023/09/13,2023,9,13,chokepoint8,Gibraltar Strait,29,34,25,8,46,96,142,1277001,1404818,118124,16236,1144773,2816181,3960955,21077
2023/09/14,2023,9,14,chokepoint8,Gibraltar Strait,42,30,23,8,51,103,154,1029421,1109458,120707,15730,1120273,2275318,3395591,21078
2023/09/15,2023,9,15,chokepoint8,Gibraltar Strait,27,41,22,3,58,93,151,934496,1635352,54582,17862,2004645,2642294,4646939,21079
2023/09/16,2023,9,16,chokepoint8,Gibraltar Strait,36,33,26,5,40,100,140,1031633,1583291,93912,8009,1003744,2716847,3720592,21080
